Start Time,Duration,activation,batch_size,dim,dropout,dropout_rate,early_stop_patience,encoder_out,epochs,intermediate,learning_rate,optimizer,out_activation,type,error,score
22/05/2024 16:32,18.3s,sigmoid,4,"(32, 284, 126, 2, 104)",1,0.15,20,50,70,1,0.0015,adam,relu,undercomplete,0.255872518,0.137909234
22/05/2024 16:10,19.9s,softmax,4,"(58, 186, 61, 104, 257)",0,0.25,40,50,100,3,0.001,adam,relu,sparse,0.29357034,0.145705953
22/05/2024 16:29,32.9s,sigmoid,2,"(247, 35, 158, 198, 20)",2,0.05,60,50,110,1,0.001,sgd,relu,undercomplete,0.317701966,0.157721907
22/05/2024 16:13,20.4s,sigmoid,4,"(122, 72, 159, 229, 132)",0,0.1,80,50,100,2,0.001,rmsprop,relu,sparse,0.32315895,0.162097722
22/05/2024 16:26,1.7min,relu,1,"(73, 7, 137, 162, 178)",1,0.4,50,50,210,3,0.001,sgd,relu,undercomplete,0.35384953,0.173577935
22/05/2024 16:35,38.6s,sigmoid,1,"(215, 287, 77, 93, 207)",0,0.3,30,50,110,0,0.0015,sgd,relu,sparse,0.330421746,0.173887655
22/05/2024 16:39,15.0s,sigmoid,4,"(22, 127, 50, 276, 41)",0,0.35,0,50,90,5,0.001,rmsprop,relu,sparse,0.344730139,0.181468457
22/05/2024 16:31,36.4s,relu,4,"(284, 140, 216, 81, 60)",0,0.25,10,50,160,5,0.0015,sgd,relu,sparse,0.344171286,0.185431629
22/05/2024 16:31,37.8s,sigmoid,4,"(232, 200, 243, 261, 116)",0,0.1,70,50,220,2,0.001,sgd,relu,undercomplete,0.35500282,0.188822106
22/05/2024 16:32,13.9s,relu,16,"(113, 303, 61, 107, 4)",2,0.2,60,50,50,0,0.001,sgd,relu,sparse,0.444664836,0.251772523
22/05/2024 16:32,17.6s,relu,8,"(241, 70, 203, 283, 274)",0,0.15,100,50,70,2,0.0005,sgd,relu,sparse,0.496969849,0.28839457
22/05/2024 16:12,10.5s,softmax,16,"(283, 152, 69, 114, 217)",0,0.1,70,50,50,0,0.001,sgd,relu,undercomplete,0.551265597,0.340846568
22/05/2024 16:09,23.0s,relu,1,"(34, 48, 253, 115, 125)",0,0.3,40,50,70,0,0.0015,rmsprop,softmax,undercomplete,0.554587781,0.343589574
22/05/2024 16:09,32.3s,sigmoid,1,"(68, 281, 290, 260, 13)",2,0.3,30,50,60,4,0.0015,adam,softmax,sparse,0.554587841,0.344006121
22/05/2024 16:08,10.1s,sigmoid,16,"(39, 205, 8, 253, 154)",0,0.4,70,50,30,0,0.001,adam,softmax,undercomplete,0.554588318,0.34403798
22/05/2024 16:10,13.3s,softmax,16,"(59, 26, 204, 144, 276)",0,0.15,90,50,50,2,0.0015,rmsprop,softmax,undercomplete,0.554600954,0.344565779
22/05/2024 16:11,14.3s,sigmoid,16,"(68, 14, 32, 139, 60)",1,0.2,20,50,100,1,0.0005,sgd,softmax,undercomplete,0.554602206,0.344667375
23/05/2024 00:03,9.2s,sigmoid,4,"(220, 208, 65, 192, 117)",0,0.2,40,150,190,2,0.001,sgd,sigmoid,undercomplete,,
22/05/2024 23:55,3.0s,sigmoid,16,"(201, 177, 35, 24, 145)",0,0.2,20,150,200,3,0.001,adam,sigmoid,sparse,,
22/05/2024 23:51,2.9s,sigmoid,16,"(264, 228, 205, 178, 232)",0,0.3,40,50,50,1,0.001,rmsprop,sigmoid,undercomplete,,
22/05/2024 23:50,2.9s,sigmoid,8,"(128, 215, 23, 198, 107)",0,0.05,80,5,280,1,0.0015,rmsprop,sigmoid,sparse,,
22/05/2024 23:39,17.2s,relu,4,"(245, 96, 298, 224, 62)",0,0.15,60,5,260,1,0.0015,rmsprop,sigmoid,sparse,,
